,항공사,편명,목적지,계획,예상,출발,구분,현황,날짜
90,몽골항공,OM501,NRT(도쿄/나리타),12:45,12:45,12:38,여객,출발,2010-01-01
91,아시아나항공,OZ541,FRA(프랑크푸르트),12:50,12:50,13:04,여객,출발,2010-01-01
92,대한항공,KE869,DLC(대련),13:00,13:00,13:29,여객,출발,2010-01-01
93,중국동방항공,MU5042,PVG(푸동),13:00,13:00,13:21,여객,출발,2010-01-01
94,중국국제항공,CA140,HGH(항저우),13:05,13:05,13:12,여객,출발,2010-01-01
95,중국국제항공,CA124,PEK(베이징),13:05,13:05,13:17,여객,출발,2010-01-01
96,대한항공,KE841,TAO(청도),13:10,13:10,13:23,여객,출발,2010-01-01
97,대한항공,KE907,LHR(런던히드로),13:10,13:10,13:39,여객,출발,2010-01-01
98,대한항공,KE789,FUK(후쿠오카),13:10,13:20,13:20,여객,출발,2010-01-01
99,아시아나항공,OZ335,PEK(베이징),13:20,13:20,13:49,여객,출발,2010-01-01
